id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
400080,29131,4922,16.8960900758642,99.773242630385482,1965-01-04,2017-12-05
400350,16738,2786,16.644760425379378,99.546485260770979,1993-01-05,2018-02-09
412729,779,117,15.019255455712452,99.319727891156461,2017-01-03,2018-02-09
400440,27247,3976,14.592432194370023,99.092970521541943,1973-03-14,2018-02-09
412486,4914,640,13.024013024013023,98.86621315192744,2011-01-05,2018-02-09
400163,16728,2112,12.625538020086083,98.639455782312922,1993-01-05,2018-02-09
408211,7389,830,11.232913790770063,98.412698412698404,1975-01-14,2018-02-09
412506,3362,359,10.67816775728733,98.185941043083901,2012-11-15,2018-02-09
412567,3308,347,10.489721886336154,97.959183673469383,2013-01-03,2018-02-09
412616,2104,207,9.838403041825094,97.732426303854879,2015-01-06,2018-02-09
412699,779,76,9.75609756097561,97.505668934240362,2017-01-03,2018-02-09
412259,7081,683,9.64553029233159,97.278911564625844,2008-04-10,2018-02-09
412693,779,74,9.499358151476251,97.05215419501134,2017-01-03,2018-02-09
412404,4914,436,8.872608872608872,96.825396825396822,2011-01-05,2018-02-09
400170,16739,1480,8.841627337355876,96.598639455782305,1993-01-05,2018-02-09
412640,1433,125,8.722958827634333,96.371882086167801,2015-01-06,2017-02-28
400271,13621,1164,8.545628074297042,96.145124716553283,1998-02-11,2018-02-09
412432,4914,393,7.997557997557997,95.918367346938766,2011-01-05,2018-02-09
412692,779,62,7.958921694480104,95.691609977324262,2017-01-03,2018-02-09
400379,14277,1087,7.613644323037053,95.464852607709744,1997-01-07,2018-02-09
412412,4914,370,7.52950752950753,95.238095238095227,2011-01-05,2018-02-09
400422,17657,1321,7.481452115308376,95.011337868480723,1991-01-03,2018-02-09
400122,18570,1341,7.221324717285945,94.784580498866205,1989-01-03,2018-02-09
400651,9659,682,7.060772336680817,94.557823129251702,2005-01-04,2018-02-09
400021,16021,1096,6.841021159727857,94.331065759637184,1993-01-05,2017-01-23
400240,19507,1331,6.823191674783412,94.104308390022666,1987-01-06,2018-02-09
400162,10880,742,6.81985294117647,93.877551020408163,2003-01-07,2018-02-09
412697,779,53,6.8035943517329915,93.650793650793645,2017-01-03,2018-02-09
400656,9659,656,6.7915933326431315,93.424036281179141,2005-01-04,2018-02-09
412397,4914,332,6.7562067562067565,93.197278911564624,2011-01-05,2018-02-09
400206,17564,1185,6.746754725575039,92.97052154195012,1991-05-22,2018-02-09
400378,19514,1310,6.713129035564211,92.743764172335602,1987-01-06,2018-02-09
400029,10880,720,6.61764705882353,92.517006802721085,2003-01-07,2018-02-09
412461,4914,317,6.4509564509564505,92.290249433106581,2011-01-05,2018-02-09
400074,11876,762,6.416301785112832,92.063492063492063,2001-01-03,2018-02-09
412468,4914,306,6.227106227106227,91.83673469387756,2011-01-05,2018-02-09
400089,11876,738,6.2142135399124285,91.609977324263042,2001-01-03,2018-02-09
400314,16110,997,6.188702669149596,91.383219954648524,1987-06-09,2018-02-09
400199,15617,962,6.1599538963949545,91.156462585034021,1995-01-04,2018-02-09
400093,14277,873,6.114729985291027,90.929705215419503,1997-01-07,2018-02-09
400157,14277,870,6.093717167472159,90.702947845804999,1997-01-07,2018-02-09
412517,3308,192,5.804111245465538,90.476190476190482,2013-01-03,2018-02-09
412500,4208,244,5.798479087452471,90.249433106575964,2011-09-15,2018-02-09
412261,6992,402,5.749427917620138,90.02267573696146,2008-05-07,2018-02-09
400639,9659,555,5.7459364323428925,89.795918367346943,2005-01-04,2018-02-09
400652,9659,552,5.714877316492391,89.569160997732425,2005-01-04,2018-02-09
400018,20404,1159,5.6802587727896485,89.342403628117921,1985-01-03,2018-02-09
400623,9659,545,5.642406046174552,89.115646258503403,2005-01-04,2018-02-09
412607,2152,121,5.622676579925651,88.888888888888886,2014-11-13,2018-02-09
412215,8445,471,5.577264653641207,88.662131519274382,2007-01-04,2018-02-09
400618,9651,534,5.5331053776810695,88.435374149659864,2005-01-04,2018-02-09
412385,5374,297,5.526609601786379,88.208616780045361,2010-04-15,2018-02-09
400291,18575,1018,5.480484522207267,87.981859410430843,1989-01-03,2018-02-09
412477,4914,265,5.392755392755393,87.755102040816325,2011-01-05,2018-02-09
400211,21310,1142,5.358986391365557,87.528344671201822,1983-01-03,2018-02-09
400290,13090,695,5.309396485867074,87.301587301587304,1999-01-06,2018-02-09
412550,3308,175,5.290205562273277,87.074829931972786,2013-01-03,2018-02-09
412624,2104,109,5.180608365019011,86.848072562358283,2015-01-06,2018-02-09
400344,18366,951,5.178046390068605,86.621315192743765,1989-05-17,2018-02-09
400661,9659,499,5.166166269800186,86.394557823129247,2005-01-04,2018-02-09
400355,10880,559,5.137867647058823,86.167800453514744,2003-01-07,2018-02-09
400158,11876,610,5.136409565510273,85.941043083900226,2001-01-03,2018-02-09
400616,9799,503,5.1331768547811,85.714285714285708,2004-07-21,2018-02-09
412585,3308,168,5.078597339782346,85.487528344671205,2013-01-03,2018-02-09
400204,16739,844,5.042117211302945,85.260770975056687,1993-01-05,2018-02-09
412418,3636,181,4.9779977997799785,85.034013605442169,2011-01-05,2018-02-09
400233,13090,650,4.965622612681436,84.807256235827666,1999-01-06,2018-02-09
412543,3308,164,4.957678355501813,84.580498866213148,2013-01-03,2018-02-09
412560,3303,161,4.874356645473812,84.353741496598644,2013-01-03,2018-02-09
400108,10880,530,4.8713235294117645,84.126984126984127,2003-01-07,2018-02-09
412186,8472,412,4.863078375826251,83.900226757369609,2006-11-13,2018-02-09
400289,16734,805,4.810565316122864,83.673469387755105,1993-01-05,2018-02-09
412548,3308,159,4.806529625151149,83.446712018140587,2013-01-03,2018-02-09
412221,8445,405,4.7957371225577266,83.21995464852607,2007-01-04,2018-02-09
400090,14600,694,4.7534246575342465,82.993197278911566,1996-04-25,2018-02-09
412621,2104,100,4.752851711026616,82.766439909297048,2015-01-06,2018-02-09
412474,4232,201,4.74952741020794,82.539682539682531,2011-01-05,2017-02-15
412419,4914,230,4.68050468050468,82.312925170068027,2011-01-05,2018-02-09
412595,3211,149,4.640298972282778,82.086167800453509,2013-04-11,2018-02-09
412308,6569,303,4.61257421220886,81.859410430838992,2009-01-06,2018-02-09
400251,16734,768,4.589458587307279,81.632653061224488,1993-01-05,2018-02-09
400659,9659,442,4.5760430686406455,81.40589569160997,2005-01-04,2018-02-09
412431,4196,191,4.551954242135367,81.179138321995467,2011-01-05,2017-01-23
412728,779,35,4.492939666238768,80.952380952380949,2017-01-03,2018-02-09
412199,8445,377,4.464179988158674,80.725623582766431,2007-01-04,2018-02-09
400047,13462,599,4.449561729312138,80.498866213151928,1998-05-21,2018-02-09
400068,10866,482,4.43585496042702,80.27210884353741,2003-01-07,2018-02-09
400046,14277,633,4.433704559781466,80.045351473922892,1997-01-07,2018-02-09
400641,9654,424,4.39196188108556,79.818594104308389,2005-01-04,2018-02-09
412410,4914,215,4.375254375254375,79.591836734693871,2011-01-05,2018-02-09
400349,10880,471,4.329044117647059,79.365079365079367,2003-01-07,2018-02-09
400101,14277,614,4.3006233802619604,79.13832199546485,1997-01-07,2018-02-09
400114,15617,661,4.232567074342064,78.911564625850332,1995-01-04,2018-02-09
412445,4914,207,4.212454212454213,78.684807256235828,2011-01-05,2018-02-09
412576,3308,138,4.171704957678355,78.458049886621311,2013-01-03,2018-02-09
400367,14271,594,4.162287155770444,78.231292517006807,1997-01-07,2018-02-09
400033,14526,604,4.158061407132039,78.004535147392289,1996-05-30,2018-02-09
412578,3308,137,4.141475211608222,77.777777777777786,2013-01-03,2018-02-09
412382,5712,236,4.131652661064425,77.551020408163268,2009-11-05,2018-02-09
400063,13090,539,4.117647058823529,77.324263038548764,1999-01-06,2018-02-09
400416,16734,684,4.087486554320545,77.097505668934247,1993-01-05,2018-02-09
412254,7464,305,4.086280814576634,76.870748299319729,2007-10-18,2018-02-09
400160,16739,675,4.032498954537308,76.643990929705225,1993-01-05,2018-02-09
400309,14277,574,4.020452476010367,76.417233560090708,1997-01-07,2018-02-09
400209,15617,623,3.989242492155984,76.19047619047619,1995-01-04,2018-02-09
400100,19508,776,3.9778552388763586,75.963718820861686,1987-01-06,2018-02-09
400352,10880,432,3.9705882352941173,75.736961451247168,2003-01-07,2018-02-09
412469,4914,195,3.968253968253968,75.510204081632651,2011-01-05,2018-02-09
412270,6134,243,3.961525921095533,75.283446712018147,2009-01-06,2017-06-29
412652,2104,83,3.944866920152091,75.056689342403629,2015-01-06,2018-02-09
412509,3308,130,3.9298669891172913,74.829931972789126,2013-01-03,2018-02-09
412488,4914,190,3.8665038665038662,74.603174603174608,2011-01-05,2018-02-09
412195,8445,326,3.8602723505032563,74.37641723356009,2007-01-04,2018-02-09
412716,779,30,3.8510911424903727,74.149659863945587,2017-01-03,2018-02-09
412478,4914,189,3.8461538461538463,73.922902494331069,2011-01-05,2018-02-09
400030,16739,643,3.8413286337296135,73.696145124716551,1993-01-05,2018-02-09
412315,6546,251,3.8344026886648335,73.469387755102048,2009-01-06,2018-02-09
412211,8445,319,3.7773830669034933,73.24263038548753,2007-01-04,2018-02-09
400249,11481,433,3.7714484800975523,73.015873015873012,2001-10-23,2018-02-09
412657,2104,79,3.754752851711027,72.789115646258509,2015-01-06,2018-02-09
400245,15617,583,3.7331113530127427,72.562358276643991,1995-01-04,2018-02-09
400402,16603,615,3.7041498524363066,72.335600907029473,1993-04-20,2018-02-09
412396,4914,182,3.7037037037037033,72.10884353741497,2011-01-05,2018-02-09
400343,18575,683,3.676985195154778,71.882086167800452,1989-01-03,2018-02-09
400237,13538,490,3.6194415718717683,71.655328798185948,1998-04-21,2018-02-09
412400,4914,177,3.6019536019536016,71.428571428571431,2011-01-05,2018-02-09
412544,3308,119,3.5973397823458284,71.201814058956913,2013-01-03,2018-02-09
412703,779,28,3.594351732991014,70.975056689342409,2017-01-03,2018-02-09
412647,2104,75,3.5646387832699618,70.748299319727892,2015-01-06,2018-02-09
412443,4914,175,3.561253561253561,70.521541950113374,2011-01-05,2018-02-09
412426,4914,174,3.5409035409035408,70.29478458049887,2011-01-05,2018-02-09
412529,3308,117,3.5368802902055623,70.068027210884352,2013-01-03,2018-02-09
412192,8445,298,3.5287152161042035,69.841269841269835,2007-01-04,2018-02-09
412619,2104,74,3.5171102661596962,69.614512471655331,2015-01-06,2018-02-09
400366,18160,637,3.5077092511013217,69.387755102040813,1990-03-28,2018-02-09
400075,16739,584,3.488858354740427,69.160997732426296,1993-01-05,2018-02-09
412687,779,27,3.465982028241335,68.707482993197274,2017-01-03,2018-02-09
412717,779,27,3.465982028241335,68.707482993197274,2017-01-03,2018-02-09
412561,3308,113,3.4159613059250304,68.480725623582757,2013-01-03,2018-02-09
400406,11824,402,3.399864682002706,68.253968253968253,2001-01-03,2018-01-11
412196,8445,286,3.3866193013617525,68.027210884353735,2007-01-04,2018-02-09
412555,3308,112,3.3857315598548974,67.800453514739232,2013-01-03,2018-02-09
412727,779,26,3.3376123234916557,67.573696145124714,2017-01-03,2018-02-09
412660,2104,69,3.279467680608365,67.346938775510196,2015-01-06,2018-02-09
412327,6576,215,3.269464720194647,67.120181405895693,2008-12-10,2018-02-09
412511,3308,108,3.2648125755743655,66.893424036281175,2013-01-03,2018-02-09
412318,4963,160,3.2238565383840423,66.666666666666657,2009-01-06,2018-02-09
400087,13085,415,3.1715705005731754,66.439909297052154,1999-01-06,2018-02-09
412379,6021,190,3.1556219897027074,66.213151927437636,2009-07-16,2018-02-09
412551,3308,102,3.083434099153567,65.986394557823118,2013-01-03,2018-02-09
412629,2104,64,3.041825095057034,65.759637188208615,2015-01-06,2018-02-09
400381,19513,590,3.0236252754573876,65.532879818594097,1987-01-06,2018-02-09
412558,3308,100,3.0229746070133015,65.306122448979593,2013-01-03,2018-02-09
412311,6569,198,3.0141574059978686,65.079365079365076,2009-01-06,2018-02-09
412411,4914,148,3.011803011803012,64.625850340136054,2011-01-05,2018-02-09
412475,4914,148,3.011803011803012,64.625850340136054,2011-01-05,2018-02-09
412519,3308,99,2.992744860943168,64.172335600907033,2013-01-03,2018-02-09
412526,3308,99,2.992744860943168,64.172335600907033,2013-01-03,2018-02-09
400196,11876,354,2.9808016167059614,63.945578231292522,2001-01-03,2018-02-09
400376,13090,388,2.964094728800611,63.718820861678005,1999-01-06,2018-02-09
400660,9659,286,2.9609690444145356,63.492063492063487,2005-01-04,2018-02-09
412715,779,23,2.952503209242619,63.265306122448983,2017-01-03,2018-02-09
412618,2104,62,2.9467680608365017,63.038548752834465,2015-01-06,2018-02-09
412563,3308,96,2.902055622732769,62.811791383219948,2013-01-03,2018-02-09
412462,4914,142,2.88970288970289,62.585034013605444,2011-01-05,2018-02-09
412202,8445,244,2.8892835997631736,62.358276643990926,2007-01-04,2018-02-09
400124,16739,480,2.867554812115419,62.131519274376416,1993-01-05,2018-02-09
412601,2665,76,2.851782363977486,61.904761904761905,2014-01-08,2018-02-09
400313,9225,263,2.850948509485095,61.678004535147387,2003-01-07,2018-02-09
400626,8965,255,2.8443948689347462,61.451247165532884,2005-01-04,2017-02-07
412307,6569,186,2.8314811995737554,61.224489795918366,2009-01-06,2018-02-09
412725,779,22,2.8241335044929397,60.997732426303855,2017-01-03,2018-02-09
400297,10880,304,2.794117647058824,60.770975056689345,2003-01-07,2018-02-09
400640,9659,269,2.784967387928357,60.544217687074834,2005-01-04,2018-02-09
412536,3308,92,2.781136638452237,60.317460317460316,2013-01-03,2018-02-09
400218,14277,397,2.7806962246970652,60.090702947845806,1997-01-07,2018-02-09
400057,16739,460,2.74807336161061,59.863945578231295,1993-01-05,2018-02-09
400081,16573,455,2.745429312737585,59.637188208616777,1983-01-03,2018-02-09
400644,9659,265,2.743555233461021,59.410430839002274,2005-01-04,2018-02-09
400247,15953,437,2.739296684009277,59.183673469387756,1994-05-17,2018-02-09
400630,9659,263,2.722849156227353,58.956916099773238,2005-01-04,2018-02-09
400373,14277,388,2.717657771240457,58.730158730158735,1997-01-07,2018-02-09
412670,2104,57,2.709125475285171,58.503401360544217,2015-01-06,2018-02-09
412605,2152,58,2.6951672862453533,58.276643990929713,2014-11-13,2018-02-09
412531,3308,89,2.6904474002418377,58.049886621315196,2013-01-03,2018-02-09
400363,10880,292,2.6838235294117645,57.823129251700678,2003-01-07,2018-02-09
412219,5514,147,2.665941240478781,57.596371882086174,2007-01-04,2018-02-09
400004,14277,380,2.6616235903901377,57.369614512471657,1997-01-07,2018-02-09
412532,3308,88,2.6602176541717046,57.142857142857139,2013-01-03,2018-02-09
400246,18570,492,2.6494345718901453,56.916099773242635,1989-01-03,2018-02-09
412615,2104,55,2.614068441064639,56.689342403628117,2015-01-06,2018-02-09
400189,22065,570,2.583276682528892,56.4625850340136,1981-06-04,2018-02-09
400347,16732,425,2.5400430313172366,56.235827664399096,1993-01-05,2018-02-09
412580,3308,84,2.539298669891173,56.009070294784578,2013-01-03,2018-02-09
409888,11754,297,2.5267993874425727,55.782312925170061,2001-05-17,2018-02-09
412510,3308,83,2.5090689238210397,55.328798185941039,2013-01-03,2018-02-09
412581,3308,83,2.5090689238210397,55.328798185941039,2013-01-03,2018-02-09
412638,2104,52,2.4714828897338403,55.102040816326522,2015-01-06,2018-02-09
412331,6376,157,2.4623588456712673,54.875283446712018,2009-04-21,2018-02-09
412444,4914,121,2.4623524623524626,54.6485260770975,2011-01-05,2018-02-09
400077,10880,266,2.4448529411764706,54.421768707482997,2003-01-07,2018-02-09
412258,7121,174,2.4434770397416097,54.195011337868479,2008-03-13,2018-02-09
412236,8445,206,2.4393132030787448,53.968253968253968,2007-01-04,2018-02-09
400032,10880,265,2.4356617647058822,53.741496598639458,2003-01-07,2018-02-09
400259,11876,289,2.433479285954867,53.51473922902494,2001-01-03,2018-02-09
400220,10880,264,2.4264705882352944,53.287981859410429,2003-01-07,2018-02-09
412650,2104,51,2.423954372623574,53.061224489795919,2015-01-06,2018-02-09
400219,16739,403,2.407551227671904,52.834467120181408,1993-01-05,2018-02-09
412600,2671,64,2.3961063272182703,52.60770975056689,2013-12-12,2018-02-09
400052,10880,259,2.380514705882353,52.380952380952387,2003-01-07,2018-02-09
412239,8444,197,2.3330175272382756,52.154195011337869,2007-01-04,2018-02-09
412514,3308,77,2.327690447400242,51.927437641723351,2013-01-03,2018-02-09
400653,9659,224,2.319080650170825,51.700680272108848,2005-01-04,2018-02-09
412694,779,18,2.3106546854942236,51.47392290249433,2017-01-03,2018-02-09
400654,9659,223,2.308727611553991,51.247165532879826,2005-01-04,2018-02-09
412437,4914,113,2.2995522995522997,50.793650793650791,2011-01-05,2018-02-09
412480,4914,113,2.2995522995522997,50.793650793650791,2011-01-05,2018-02-09
412302,6569,151,2.298675597503425,50.566893424036287,2009-01-06,2018-02-09
